V (V),J (mA/cm2)
0.0,31.034501570640767
0.02,31.025566216984476
0.04,31.016248529446553
0.06,31.006513587635585
0.08,30.99631969979782
0.1,30.985616402759003
0.12,30.974341703292044
0.14,30.96241823513954
0.16,30.949747834540005
0.18,30.936203821433715
0.2,30.921619928193408
0.22,30.905774399364066
0.24,30.888367205705197
0.26,30.868987765859437
0.28,30.847070276731337
0.3,30.821833084104938
0.32,30.79220392494408
0.34,30.75673365761389
0.36,30.713511841912176
0.38,30.660095805416034
0.4,30.59343724224673
0.42,30.509721057358345
0.44,30.403962116358397
0.46,30.269244224288002
0.48,30.09568384984623
0.5,29.86942248442025
0.52,29.57179142361581
0.54,29.177600531597818
0.56,28.649667680822997
0.58,27.92757017691781
0.6,26.91424306379638
0.62,25.46831520230758
0.64,23.40366494917641
0.66,20.483572408396327
0.68,16.384845952029387
0.7000000000000001,10.622543121792148
0.72,2.4352199848826306
0.74,-9.19571324355031
0.76,-25.668397702841688
0.78,-48.826448075885565
0.8,-81.17387617798585
0.8200000000000001,-126.06796827627328
0.84,-187.93184300941502
0.86,-272.4390212091473
0.88,-386.30845795875484
0.9,-536.2900557744908
0.92,-727.5705381087313
0.9400000000000001,-962.5261372661515
0.96,-1240.2888603636502
0.98,-1556.9342110074476
1.0,-1906.35053316098
