V (V),J (mA/cm2)
0.0,50.170102658030856
0.02,50.16006736071401
0.04,50.14952727274915
0.06,50.13841799415175
0.08,50.12666180764583
0.1,50.11416422604861
0.12,50.10080944305787
0.14,50.08645423008235
0.16,50.07091959701695
0.18,50.05397905720314
0.2,50.035341652744854
0.22,50.014626464739216
0.24,49.991322874275355
0.26,49.964726229565485
0.28,49.93383002581913
0.3,49.897140352259086
0.32,49.852351301171716
0.34,49.7957753993562
0.36,49.72139972012903
0.38,49.61925108756389
0.4,49.47324492565397
0.42,49.258867356959954
0.44,48.94277289852243
0.46,48.48723089410697
0.48,47.85934333145519
0.5,47.03764168853193
0.52,46.007848622750295
0.54,44.75002805675223
0.56,43.22528272859304
0.58,41.36534245311877
0.6,39.062132550740394
0.62,36.15308336705376
0.64,32.39835675045006
0.66,27.446319846920364
0.68,20.784789944884633
0.7000000000000001,11.678250072785008
0.72,-0.90622004003282
0.74,-18.380395512843137
0.76,-42.618456026300734
0.78,-76.03441256788824
0.8,-121.64284079455572
0.8200000000000001,-183.09656326489278
0.84,-264.7123854902488
0.86,-371.52944799045923
0.88,-509.4866292132866
0.9,-685.8378912069362
0.92,-909.9312176521789
0.9400000000000001,-1194.4525371786226
0.96,-1557.16951874584
0.98,-2023.0643707386303
1.0,-2626.5104398930257
