preset,Jsc,Voc,FF,PCE_Rs0,PCE_Rs0p5,PCE_Rs1,PCE_Rs2
d1_max_unpol_filtered,33.79,0.7289,0.762,18.77,18.28,17.79,16.81
d2_max_unpol_filtered,29.52,0.6902,0.695,14.15,13.81,13.46,12.78
