V (V),J (mA/cm2)
0.0,42.48411447470155
0.02,42.47873108578834
0.04,42.47312979484619
0.06,42.46729978392628
0.08,42.46122905323199
0.1,42.454904076331545
0.12,42.448309327883855
0.14,42.441426631597274
0.16,42.43423425777287
0.18,42.42670565754344
0.2,42.41880765308059
0.22,42.41049784688836
0.24,42.40172085536834
0.26,42.39240277023748
0.28,42.382442895470675
0.3,42.371702779636934
0.32,42.35998515339897
0.34,42.347009177896005
0.36,42.33236760830593
0.38,42.31546173139832
0.4,42.29539560640743
0.42,42.27079246450456
0.44,42.239451614561155
0.46,42.19767921504672
0.48,42.13899538678109
0.5,42.05177830035716
0.52,41.915364899669484
0.54,41.694393386477685
0.56,41.33188736743541
0.58,40.74272905130371
0.6,39.81049937976236
0.62,38.388162073842885
0.64,36.29270867078218
0.66,33.27900420473675
0.68,28.981217270474055
0.7000000000000001,22.810073426643168
0.72,13.890068018312611
0.74,1.0579180473253535
0.76,-17.274823113160053
0.78,-43.25353910306968
0.8,-79.89072053099108
0.8200000000000001,-131.40615402021473
0.84,-203.828371679738
0.86,-305.89848664834057
0.88,-449.9629677114683
0.9,-652.2105059510967
0.92,-932.109417425819
0.9400000000000001,-1311.9897315142455
0.96,-1817.31495195191
0.98,-2476.6443834060037
1.0,-3319.9079181320467
