preset,Jsc,Voc,FF,PCE_Rs0,PCE_Rs0p5,PCE_Rs1,PCE_Rs2
final_d1,38.85,0.6361,0.688,17.00,16.38,15.77,14.63
d1_max,42.32,0.6390,0.739,20.00,19.26,18.52,17.04
final_d1_filtered,30.86,0.6255,0.699,13.50,13.10,12.71,11.96
d1_max_filtered,33.65,0.6275,0.745,15.74,15.25,14.79,13.88
