V (V),J (mA/cm2)
0.0,29.689290442359194
0.02,29.682155865801988
0.04,29.67470990444598
0.06,29.66692059085063
0.08,29.658749880059425
0.1,29.650152144335436
0.12,29.641072213751183
0.14,29.63144279422039
0.16,29.621180997119787
0.18,29.610183576418326
0.2,29.598320185383912
0.22,29.58542351545738
0.24,29.571274294927946
0.26,29.55557747176497
0.28,29.53792285971252
0.3,29.5177175963366
0.32,29.494066670351046
0.34,29.465557213634693
0.36,29.429865398763496
0.38,29.3830468002758
0.4,29.31829785148877
0.42,29.223883502737102
0.44,29.08030932174035
0.46,28.857543901020758
0.48,28.5151328440228
0.5,28.008389618161843
0.52,27.29798770066975
0.54,26.351823457227262
0.56,25.13246679993544
0.58,23.577960571116943
0.6,21.58473992285742
0.62,18.991779490454995
0.64,15.55947025937359
0.66,10.936619049960017
0.68,4.6119147564387575
0.7000000000000001,-4.149185462762513
0.72,-16.377502864386518
0.74,-33.47792258086721
0.76,-57.30675053439201
0.78,-90.24057368229253
0.8,-135.22456745037368
0.8200000000000001,-195.7904681495635
0.84,-276.05050959007445
0.86,-380.70661266860185
0.88,-515.1572523656552
0.9,-685.822910242657
0.92,-900.8343671598061
0.9400000000000001,-1171.2349780803504
0.96,-1512.8166701049006
0.98,-1948.565138731171
1.0,-2511.372406483815
