dop_cm3,Jsc,Voc,FF,PCE_Rs0,PCE_Rs0p5,PCE_Rs1,PCE_Rs2
5e+16,33.93,1.0039,0.791,26.93,26.46,25.99,25.08
1e+17,32.90,1.0311,0.811,27.50,27.05,26.61,25.71
