V (V),J (mA/cm2)
0.0,42.229123626242476
0.02,42.21079669814274
0.04,42.19160667839226
0.06,42.17145659893098
0.08,42.15023121840113
0.1,42.12779271985733
0.12,42.10397521454336
0.14,42.07857766188741
0.16,42.05135464289891
0.18,42.022004159932735
0.2,41.990151222332685
0.22,41.955325274183025
0.24,41.916928296904835
0.26,41.874188328471256
0.28,41.82608940674623
0.3,41.77126238631184
0.32,41.7078097416529
0.34,41.63301880611763
0.36,41.54288886833718
0.38,41.43139323141336
0.4,41.289253983236534
0.42,41.10238933018715
0.44,40.85019910882815
0.46,40.50478449450383
0.48,40.03262787819512
0.5,39.3989005692152
0.52,38.57093111016138
0.54,37.51586237998898
0.56,36.1918504700237
0.58,34.53670442169791
0.6,32.456296617159566
0.62,29.812231499885655
0.64,26.405191358607993
0.66,21.95130237390299
0.68,16.050337060336414
0.7000000000000001,8.147434829395364
0.72,-2.5073916187159377
0.74,-16.896742216909043
0.76,-36.26568699844611
0.78,-62.14141350922338
0.8,-96.34466109600022
0.8200000000000001,-141.00381746401635
0.84,-198.5953293225439
0.86,-272.04757152867614
0.88,-364.9550554035723
0.9,-481.9530642523163
0.92,-629.299207332388
0.9400000000000001,-815.6964636915827
0.96,-1053.3643936299547
0.98,-1359.3096038219485
1.0,-1756.663311358987
