V (V),J (mA/cm2)
0.0,33.792193468847806
0.02,33.7879970362903
0.04,33.78362662593568
0.06,33.77907331949273
0.08,33.7743272014939
0.1,33.76937706462399
0.12,33.76421000604545
0.14,33.758810868836065
0.16,33.753161460640364
0.18,33.74723944920842
0.2,33.741016790063675
0.22,33.734457447474846
0.24,33.7275140895611
0.26,33.720123205031726
0.28,33.712197855769574
0.3,33.70361772017974
0.32,33.69421142265019
0.34,33.68373415325291
0.36,33.67183105083953
0.38,33.65798091819772
0.4,33.64140362574242
0.42,33.620893815421105
0.44,33.59449667752342
0.46,33.55885409950028
0.48,33.507918449455914
0.5,33.430583398345696
0.52,33.306717110823385
0.54,33.10133877699811
0.56,32.75748840137583
0.58,32.18964393162959
0.6,31.280839382554838
0.62,29.884084441964504
0.64,27.817609340469915
0.66,24.839125609562945
0.68,20.587137729089577
0.7000000000000001,14.480209589354303
0.72,5.6477184024977625
0.74,-7.060020642670913
0.76,-25.208505326192046
0.78,-50.89492943911716
0.8,-87.04000736866601
0.8200000000000001,-137.6886905639107
0.84,-208.53521375046526
0.86,-307.7003421286182
0.88,-446.46943312191297
0.9,-639.4468143474336
0.92,-904.0578170585483
0.9400000000000001,-1260.2007556182602
0.96,-1730.3932534465207
0.98,-2339.4354660787344
1.0,-3112.3590549167343
