lam_nm,A_active
1.700000000000000000e+03,3.272324626006125614e-01
1.673874862788145037e+03,3.514817349375671807e-01
1.648540540540540633e+03,3.758168917502699991e-01
1.623961661341853187e+03,3.974064825250814836e-01
1.600104931794333652e+03,4.141603552111396969e-01
1.576938986556359851e+03,4.244878166490883009e-01
1.554434250764526041e+03,4.268520134015911238e-01
1.532562814070352033e+03,4.201688654976641901e-01
1.511298315163528287e+03,4.048894366073774176e-01
1.490615835777126222e+03,3.835263520078187605e-01
1.470491803278688622e+03,3.597913085145512113e-01
1.450903901046622423e+03,3.369280221610264636e-01
1.431830985915492874e+03,3.166161463053928093e-01
1.413253012048192886e+03,2.991747823659051120e-01
1.395150960658737404e+03,2.845519567287394525e-01
1.377506775067750823e+03,2.730794386459344247e-01
1.360303300624442500e+03,2.654961208540673190e-01
1.343524229074889718e+03,2.624969525834540685e-01
1.327154046997389059e+03,2.643117807105440087e-01
1.311177987962166981e+03,2.706147607001065936e-01
1.295581988105352821e+03,2.808110749759602509e-01
1.280352644836272020e+03,2.945266677710198788e-01
1.265477178423236637e+03,3.118488441493549868e-01
1.250943396226415189e+03,3.327959408432140664e-01
1.236739659367396598e+03,3.560614581063299422e-01
1.222854851643945494e+03,3.780350501998409052e-01
1.209278350515463899e+03,3.933803222628802221e-01
1.196000000000000000e+03,3.973339462672459965e-01
1.183010085337470855e+03,3.882041874412074378e-01
1.170299309286262542e+03,3.680749155114724225e-01
1.157858769931662891e+03,3.411996872309396855e-01
1.145679939894815789e+03,3.116058045144036726e-01
1.133754646840148780e+03,2.818961602424747692e-01
1.122075055187637872e+03,2.537048647044788385e-01
1.110633648943918388e+03,2.285293975872200178e-01
1.099423215573179732e+03,2.076524719274285558e-01
1.088436830835117689e+03,1.913754045267029580e-01
1.077667844522968153e+03,1.788163399107887963e-01
1.067109867039888059e+03,1.688071150421417976e-01
1.056756756756756886e+03,1.609505963609909052e-01
1.046602608098833343e+03,1.556162763016871176e-01
1.036641740312712500e+03,1.529385238605502351e-01
1.026868686868686837e+03,1.520858518243607960e-01
1.017278185456971300e+03,1.516475221211679991e-01
1.007865168539325964e+03,1.505080140111152431e-01
9.986247544204322821e+02,1.480026682328374754e-01
9.895522388059702052e+02,1.432474106518682455e-01
9.806430868167203698e+02,1.348480637290858652e-01
9.718929254302104255e+02,1.218783164875653635e-01
9.632975363234367023e+02,1.053052933760832977e-01
9.548528490920475633e+02,8.809941060032006055e-02
9.465549348230912301e+02,7.348114470174477164e-02
9.383999999999999773e+02,6.286803311165628516e-02
9.303843807199513094e+02,5.557232915478299562e-02
9.225045372050817605e+02,5.045960734607957132e-02
9.147570485902820110e+02,4.767955963463077484e-02
9.071386079714457082e+02,4.864584809500166473e-02
8.996460176991150774e+02,5.455237948166202777e-02
8.922761849034521902e+02,6.535282534030323331e-02
8.850261172373767522e+02,8.040729517323547126e-02
8.778929188255614235e+02,9.987784882546757448e-02
8.708737864077670565e+02,1.250218795014584883e-01
8.639660056657223777e+02,1.568704039275321538e-01
8.571669477234402166e+02,1.947293335087920130e-01
8.504740658114892540e+02,2.361852703359329508e-01
8.438848920863308649e+02,2.786195488394235253e-01
8.373970345963756472e+02,3.206618152707885749e-01
8.310081743869210413e+02,3.622981690292413903e-01
8.247160627366142762e+02,4.039505826435564328e-01
8.185185185185185901e+02,4.457820655453857417e-01
8.124134256792755195e+02,4.878058805437481826e-01
8.063987308302486099e+02,5.301774878585524542e-01
8.004724409448818960e+02,5.729058254643286663e-01
7.946326211568525650e+02,6.152030447029497306e-01
7.888773926539058721e+02,6.553964540247039228e-01
7.832049306625576719e+02,6.917718446528944298e-01
7.776134625191230043e+02,7.235939056879413522e-01
7.721012658227849670e+02,7.512884641021301269e-01
7.666666666666667425e+02,7.757077767475892838e-01
7.613080379430854236e+02,7.973789359741382254e-01
7.560237977193852430e+02,8.164951854574834522e-01
