lam_nm,A_active
1.700000000000000000e+03,5.925159990344022187e-01
1.673874862788145037e+03,5.646636355352268044e-01
1.648540540540540633e+03,5.341251010623895290e-01
1.623961661341853187e+03,5.027956102403401406e-01
1.600104931794333652e+03,4.730541555686963995e-01
1.576938986556359851e+03,4.478851399057815486e-01
1.554434250764526041e+03,4.295532271503285093e-01
1.532562814070352033e+03,4.185919399883186176e-01
1.511298315163528287e+03,4.144383674088632508e-01
1.490615835777126222e+03,4.169599634776736119e-01
1.470491803278688622e+03,4.271109766969848343e-01
1.450903901046622423e+03,4.461522800584998283e-01
1.431830985915492874e+03,4.745213672064253485e-01
1.413253012048192886e+03,5.114269360511157769e-01
1.395150960658737404e+03,5.548555916548071343e-01
1.377506775067750823e+03,6.010611763363820081e-01
1.360303300624442500e+03,6.437513782215404934e-01
1.343524229074889718e+03,6.745268578021149652e-01
1.327154046997389059e+03,6.855802223587045274e-01
1.311177987962166981e+03,6.734223271623117624e-01
1.295581988105352821e+03,6.409010964192659587e-01
1.280352644836272020e+03,5.958291775956398029e-01
1.265477178423236637e+03,5.472127093525549490e-01
1.250943396226415189e+03,5.017789656480953209e-01
1.236739659367396598e+03,4.628066648293845953e-01
1.222854851643945494e+03,4.311758428134412346e-01
1.209278350515463899e+03,4.070985760149087307e-01
1.196000000000000000e+03,3.911134618488223413e-01
1.183010085337470855e+03,3.840061546518780400e-01
1.170299309286262542e+03,3.862538737005424827e-01
1.157858769931662891e+03,3.978028636434590148e-01
1.145679939894815789e+03,4.184867620337939798e-01
1.133754646840148780e+03,4.485401835010269789e-01
1.122075055187637872e+03,4.881477336144903756e-01
1.110633648943918388e+03,5.355557884213133502e-01
1.099423215573179732e+03,5.848985729922272503e-01
1.088436830835117689e+03,6.261084556395379863e-01
1.077667844522968153e+03,6.483629881043134757e-01
1.067109867039888059e+03,6.455751211265627898e-01
1.056756756756756886e+03,6.200254778447291670e-01
1.046602608098833343e+03,5.810931528380450795e-01
1.036641740312712500e+03,5.399067439747764485e-01
1.026868686868686837e+03,5.040978284320378755e-01
1.017278185456971300e+03,4.763844418734606290e-01
1.007865168539325964e+03,4.569386485643847085e-01
9.986247544204322821e+02,4.462841815875316365e-01
9.895522388059702052e+02,4.459103230789053240e-01
9.806430868167203698e+02,4.568818827241282188e-01
9.718929254302104255e+02,4.787680105363202876e-01
9.632975363234367023e+02,5.101390581027824833e-01
9.548528490920475633e+02,5.494688355538733804e-01
9.465549348230912301e+02,5.947312179728219128e-01
9.383999999999999773e+02,6.419466477384093706e-01
9.303843807199513094e+02,6.848152942735529214e-01
9.225045372050817605e+02,7.168248828435666020e-01
9.147570485902820110e+02,7.345354602787660392e-01
9.071386079714457082e+02,7.392336767084026761e-01
8.996460176991150774e+02,7.356037806240700583e-01
8.922761849034521902e+02,7.288500106032073100e-01
8.850261172373767522e+02,7.227766577552652283e-01
8.778929188255614235e+02,7.197769657334792681e-01
8.708737864077670565e+02,7.215705259797303706e-01
8.639660056657223777e+02,7.292446816929035736e-01
8.571669477234402166e+02,7.426313518426295168e-01
8.504740658114892540e+02,7.601720841751263835e-01
8.438848920863308649e+02,7.798168923804852382e-01
