tag,t_qd_nm,t_pvk_nm,Jopt_raw_mA_cm2,agf_qd_1p03,agf_mapbi3_1p55,Jopt_filtered_mA_cm2,retained_fraction
170,170,680,39.712,0.7549,0.7809,30.835,0.7765
212p5,212.5,637.5,41.970,0.7773,0.7906,33.217,0.7915
