design,Jopt_TM,Jopt_TE,Jopt_unpol,Jsc_unpol,Voc_unpol,FF_unpol,PCE_unpol,polarization_asymmetry_pct,notes
d1_max,42.81,42.52,42.63,42.48,0.740,0.760,23.89,0.7,front-textured grating; PCE 0.11 pt below TM headline 24.00 pct
d2_max,50.57,50.17,50.37,49.89,0.718,0.672,24.09,0.8,accuracy-3 grating; PCE 0.12 pt below TM headline 24.21 pct
