lam_nm,A_active
1.700000000000000000e+03,3.279522977327012923e-01
1.673874862788145037e+03,3.522606718510310486e-01
1.648540540540540633e+03,3.766285996100757205e-01
1.623961661341853187e+03,3.982028362095841878e-01
1.600104931794333652e+03,4.148828849241233963e-01
1.576938986556359851e+03,4.250916235589503600e-01
1.554434250764526041e+03,4.273244162425448578e-01
1.532562814070352033e+03,4.205265804112285899e-01
1.511298315163528287e+03,4.051583142516047564e-01
1.490615835777126222e+03,3.837252729118132422e-01
1.470491803278688622e+03,3.599355999755217139e-01
1.450903901046622423e+03,3.370436212884173055e-01
1.431830985915492874e+03,3.167421124483594808e-01
1.413253012048192886e+03,2.993459827407884966e-01
1.395150960658737404e+03,2.847796093224367331e-01
1.377506775067750823e+03,2.733529678974316313e-01
1.360303300624442500e+03,2.658067538056211321e-01
1.343524229074889718e+03,2.628580421708320847e-01
1.327154046997389059e+03,2.647536829391315960e-01
1.311177987962166981e+03,2.711608055968280917e-01
1.295581988105352821e+03,2.814620907626314006e-01
1.280352644836272020e+03,2.952697547410669809e-01
1.265477178423236637e+03,3.126757740794348095e-01
1.250943396226415189e+03,3.337042994733573353e-01
1.236739659367396598e+03,3.570327444732179778e-01
1.222854851643945494e+03,3.790138816014810841e-01
1.209278350515463899e+03,3.942823064551996270e-01
1.196000000000000000e+03,3.980819642899338651e-01
1.183010085337470855e+03,3.887645435857443044e-01
1.170299309286262542e+03,3.684660155552590965e-01
1.157858769931662891e+03,3.414725044865314363e-01
1.145679939894815789e+03,3.118171546445558939e-01
1.133754646840148780e+03,2.820928361931462347e-01
1.122075055187637872e+03,2.539194067271836053e-01
1.110633648943918388e+03,2.287796417957387307e-01
1.099423215573179732e+03,2.079430106447495430e-01
1.088436830835117689e+03,1.917050252381931885e-01
1.077667844522968153e+03,1.791896910847372293e-01
1.067109867039888059e+03,1.692397553220014450e-01
1.056756756756756886e+03,1.614603545557634912e-01
1.046602608098833343e+03,1.562096827861192971e-01
1.036641740312712500e+03,1.536091610618070535e-01
1.026868686868686837e+03,1.528284426666076667e-01
1.017278185456971300e+03,1.524707326215422598e-01
1.007865168539325964e+03,1.514267202803978862e-01
9.986247544204322821e+02,1.490132334411363169e-01
9.895522388059702052e+02,1.443124585494853229e-01
9.806430868167203698e+02,1.359117189748331733e-01
9.718929254302104255e+02,1.229017083915121544e-01
9.632975363234367023e+02,1.062890745124983050e-01
9.548528490920475633e+02,8.907197331167948651e-02
9.465549348230912301e+02,7.446627105579661787e-02
9.383999999999999773e+02,6.386572478531388208e-02
9.303843807199513094e+02,5.657014078112576616e-02
9.225045372050817605e+02,5.145828961057563600e-02
9.147570485902820110e+02,4.870356521315405418e-02
9.071386079714457082e+02,4.972912173629129295e-02
8.996460176991150774e+02,5.571805453577149958e-02
8.922761849034521902e+02,6.660967048060362217e-02
8.850261172373767522e+02,8.176320659395847068e-02
8.778929188255614235e+02,1.013493990637290287e-01
8.708737864077670565e+02,1.266238062849922019e-01
